Task 36,10,done
Task 41,3,done
Task 27,3,done
Task 10,8,done
Task 25,2,done
Task 25,2,done
Task 20,5,done
Task 1,2,done
Task 33,8,done
Task 45,6,done
Task 34,10,done
Task 45,6,done
Task 37,3,done
Task 15,10,done
Task 43,5,done
Task 46,4,done
Task 44,5,done
Task 12,8,done
Task 1,7,done
Task 23,9,done
Task 36,2,done
Task 44,7,done
Task 30,10,done
Task 49,3,done
Task 33,3,done
Task 34,1,done
Task 2,3,done
Task 15,9,done
Task 17,8,done
Task 42,7,done
Task 9,10,not done
Task 2,4,not done
Task 43,7,not done
Task 11,1,not done
Task 24,9,not done
Task 20,9,not done
Task 28,1,not done
Task 48,4,not done
Task 25,7,not done
Task 2,2,not done
Task 39,10,not done
Task 25,9,not done
Task 49,8,not done
Task 15,5,not done
Task 33,2,not done
Task 11,6,not done
Task 3,5,not done
Task 20,6,not done
Task 39,10,not done
Task 43,3,not done
